unit_id,year,economic,pressure,label
U1,2020,20,80,SYNTHETIC / DEMONSTRATION DATA
U2,2020,40,60,SYNTHETIC / DEMONSTRATION DATA
U3,2020,60,40,SYNTHETIC / DEMONSTRATION DATA
U4,2020,80,20,SYNTHETIC / DEMONSTRATION DATA
U1,2021,30,70,SYNTHETIC / DEMONSTRATION DATA
U2,2021,50,50,SYNTHETIC / DEMONSTRATION DATA
U3,2021,70,30,SYNTHETIC / DEMONSTRATION DATA
U4,2021,90,10,SYNTHETIC / DEMONSTRATION DATA
U1,2022,40,60,SYNTHETIC / DEMONSTRATION DATA
U2,2022,60,40,SYNTHETIC / DEMONSTRATION DATA
U3,2022,80,20,SYNTHETIC / DEMONSTRATION DATA
U4,2022,100,0,SYNTHETIC / DEMONSTRATION DATA
