requirement_id,source_section,requirement,implementation_path,verification_command,evidence_path,status,blocker
R01.000,requirements.md §1,项目名称,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R01.001,requirements.md §1,coastmas,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R02.000,requirements.md §2,项目定位,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R02.001,requirements.md §2,独立代码仓库,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R02.002,requirements.md §2,+,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R02.003,requirements.md §2,独立数据库,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R02.004,requirements.md §2,独立部署,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R02.005,requirements.md §2,独立用户体系,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R02.006,requirements.md §2,独立模型体系,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R02.007,requirements.md §2,独立运行,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R02.008,requirements.md §2,独立验收,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R02.009,requirements.md §2,通用模型编排核心,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R02.010,requirements.md §2,海岸带领域包,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R02.011,requirements.md §2,独立海岸带应用系统,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R02.012,requirements.md §2,GeoAI Integration Adapter,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R02.013,requirements.md §2,直接修改现有 GeoAI Platform 核心代码,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R02.014,requirements.md §2,把 GeoAI 源码复制进本项目,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
R02.015,requirements.md §2,使 CoastMAS 必须依赖 GeoAI 才能运行,docs/implementation-plan.md,make acceptance,,NOT_RUN,尚未实现或验证
